F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.81,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,30,1665,14808,7060,10.11,0.0146276932337846,0.0134393296883285,0.0068860333701127,144.71863222122192,139.7017593383789,"[0.45645645645645644, 0.34654654654654654, 0.196996996996997]","[0.5, 0.28, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:59:49,23533
0.82,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,31,1715,14758,7060,10.41,0.0142758824405034,0.0142136234476026,0.0069735742649362,148.921936750412,139.1743528842926,"[0.4577259475218659, 0.3446064139941691, 0.197667638483965]","[0.46, 0.28, 0.26]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:06:04,23533
0.8,0.8,0.8,0.8,Breaking_Ties,Claimbuster,XLMR-Base,32,1765,14708,7060,10.71,0.0156540617210266,0.0144601347349314,0.0069817298708894,153.3310477733612,138.7979805469513,"[0.4577903682719547, 0.34277620396600567, 0.19943342776203965]","[0.6, 0.2, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:12:22,23533
0.82,0.83,0.83,0.82,Breaking_Ties,Claimbuster,XLMR-Base,33,1815,14658,7060,11.02,0.0164601051269201,0.014010688211005,0.0068134393940663,157.67885398864746,138.27969193458557,"[0.46170798898071624, 0.33884297520661155, 0.19944903581267218]","[0.46, 0.34, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:18:44,23533
0.81,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,34,1865,14608,7060,11.32,0.0162040037247305,0.0142779154897655,0.0068481183323524,162.31094074249268,137.92235684394836,"[0.4616621983914209, 0.3351206434316354, 0.2032171581769437]","[0.52, 0.28, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:25:10,23533
0.82,0.83,0.83,0.82,Breaking_Ties,Claimbuster,XLMR-Base,35,1915,14558,7060,11.63,0.0166008682303731,0.0143445683176958,0.0069342849928017,166.4114077091217,137.29193377494812,"[0.46318537859007836, 0.33368146214099215, 0.2031331592689295]","[0.4, 0.38, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:31:40,23533
0.78,0.79,0.79,0.78,Breaking_Ties,Claimbuster,XLMR-Base,36,1965,14508,7060,11.93,0.0176659677331133,0.013856523189981,0.0065456474797997,170.77021646499634,136.81552267074585,"[0.46157760814249366, 0.33486005089058524, 0.2035623409669211]","[0.44, 0.32, 0.24]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:38:14,23533
0.81,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,37,2015,14458,7060,12.23,0.0176346054100377,0.0143389446908559,0.0070369680393812,175.0727744102478,136.31961464881897,"[0.4610421836228288, 0.3325062034739454, 0.2064516129032258]","[0.36, 0.36, 0.28]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:44:51,23533
0.82,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,38,2065,14408,7060,12.54,0.0183592325497636,0.0139567369161123,0.0068456655891195,179.54110980033877,136.05367732048035,"[0.4585956416464891, 0.3331719128329298, 0.20823244552058112]","[0.4, 0.34, 0.26]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:51:33,23533
0.76,0.78,0.78,0.76,Breaking_Ties,Claimbuster,XLMR-Base,39,2115,14358,7060,12.84,0.0188247868191108,0.014286229429116,0.0068449349148031,184.04083395004272,135.44446396827698,"[0.45721040189125295, 0.33144208037825057, 0.21134751773049645]","[0.56, 0.34, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 23:58:19,23533
0.81,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,40,2165,14308,7060,13.14,0.0191671332132769,0.013825275982057,0.006867079732375,188.32569193840027,134.9940049648285,"[0.45450346420323323, 0.33672055427251735, 0.20877598152424942]","[0.44, 0.42, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:05:08,23533
0.81,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,41,2215,14258,7060,13.45,0.0193167654707519,0.0130661188977984,0.006817122460486,192.7622098922729,134.487815618515,"[0.45372460496614, 0.33905191873589163, 0.2072234762979684]","[0.48, 0.3, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:12:01,23533
0.74,0.74,0.74,0.74,Breaking_Ties,Claimbuster,XLMR-Base,42,2265,14208,7060,13.75,0.019749866520854,0.0136876813465119,0.0068948186643058,197.02074074745173,134.00767755508423,"[0.4543046357615894, 0.33818984547461367, 0.20750551876379691]","[0.64, 0.3, 0.06]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:18:59,23533
0.82,0.83,0.83,0.82,Breaking_Ties,Claimbuster,XLMR-Base,43,2315,14158,7060,14.05,0.0203594945442611,0.0133272982501373,0.0068845238181445,201.64713597297668,133.43507266044617,"[0.4583153347732181, 0.33736501079913606, 0.2043196544276458]","[0.5, 0.26, 0.24]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:26:00,23533
0.82,0.82,0.82,0.82,Breaking_Ties,Claimbuster,XLMR-Base,44,2365,14108,7060,14.36,0.0208059732404492,0.0132705514959469,0.0067941973979544,205.7816472053528,133.094477891922,"[0.45919661733615225, 0.3357293868921776, 0.20507399577167018]","[0.44, 0.3, 0.26]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:33:05,23533
0.52,0.66,0.66,0.43,Breaking_Ties,Claimbuster,XLMR-Base,45,2415,14058,7060,14.66,0.0208928514828292,0.0135920448429689,0.0067886580112826,209.90711164474487,132.46987414360046,"[0.4587991718426501, 0.3349896480331263, 0.2062111801242236]","[0.98, 0.02]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:40:14,23533
0.82,0.82,0.82,0.82,Breaking_Ties,Claimbuster,XLMR-Base,46,2465,14008,7060,14.96,0.022455285839632,0.0133544426985402,0.0068451572018469,214.4998979568481,131.98916745185852,"[0.4693711967545639, 0.3286004056795132, 0.20202839756592292]","[0.54, 0.28, 0.18]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:47:26,23533
0.83,0.83,0.83,0.82,Breaking_Ties,Claimbuster,XLMR-Base,47,2515,13958,7060,15.27,0.0222395660642845,0.0133244631241278,0.00692480325237,218.81278562545776,131.62447214126587,"[0.47077534791252484, 0.3276341948310139, 0.20159045725646124]","[0.42, 0.3, 0.28]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-25 00:54:43,23533
